ply,pieces,branching,cap_needed,converged
4,64,22,3200,0
4,64,22,50,1
4,64,22,50,1
4,64,21,3200,0
4,64,21,3200,0
12,63,18,3200,0
12,64,24,3200,0
12,64,24,3200,0
12,62,30,50,1
12,62,30,50,1
24,62,37,1600,1
24,64,25,1600,1
24,64,25,1600,1
24,62,36,100,1
24,62,36,100,1
40,60,28,400,1
40,64,32,1600,1
40,64,32,1600,1
40,60,23,200,1
40,60,23,200,1
60,59,34,50,1
60,59,39,400,1
60,59,39,400,1
60,60,27,3200,0
60,60,27,3200,0
80,57,45,50,1
80,56,38,1600,1
80,56,38,1600,1
80,58,34,400,1
80,58,34,400,1
100,55,50,50,1
100,52,48,1600,1
100,52,48,1600,1
100,56,45,50,1
100,56,45,50,1
120,52,44,1600,1
120,49,43,50,1
120,49,43,50,1
120,53,47,50,1
120,53,47,50,1
